Ux,Uy,Uz,TA_1_1_1,T_SONIC_corr,PA,H2O_density,CO2_density
-0.3198842,0.8835457,-0.02539027,-12.20291,-10.72437,83.73124,1.478358,700.0405
-0.3254587,0.8812274,-0.02857799,-12.20291,-10.71649,83.73112,1.482111,700.264
-0.3192642,0.881932,-0.02638363,-12.20291,-10.72098,83.73267,1.477917,700.1769
-0.3164551,0.8764216,-0.02621457,-12.20291,-10.72375,83.73241,1.482995,700.0317
-0.312116,0.8795796,-0.02817447,-12.20291,-10.65918,83.73257,1.485161,699.9913
-0.3113365,0.8745791,-0.03148414,-12.20291,-10.69476,83.73097,1.48241,699.5557
-0.3142418,0.8749045,-0.03227468,-12.20291,-10.63947,83.73144,1.485471,699.7483
-0.32308,0.8794689,-0.03136091,-12.20291,-10.65756,83.73225,1.480512,699.8027
-0.3292904,0.8786436,-0.03098861,-12.20291,-10.67453,83.73019,1.483139,699.9683
-0.3304981,0.8842524,-0.02598874,-12.20291,-10.68845,83.73174,1.477312,699.8252
-0.3286555,0.8816145,-0.02429442,-12.20291,-10.66458,83.73121,1.482661,699.9545
-0.3314643,0.8887999,-0.02073022,-12.20291,-10.698,83.7316,1.484537,700.0269
-0.3209831,0.8902977,-0.02328156,-12.20291,-10.69415,83.7315,1.480719,699.8982
-0.3193823,0.8975864,-0.02461443,-12.20291,-10.70419,83.73014,1.481197,699.5961
-0.316386,0.8885434,-0.02881728,-12.20291,-10.66379,83.73101,1.483922,699.7252
-0.3178509,0.8894276,-0.03295407,-12.20291,-10.67242,83.73173,1.483127,700.0865
-0.3109624,0.8776941,-0.03392477,-12.20291,-10.61917,83.73173,1.478609,699.5066
-0.3085833,0.8808604,-0.03108179,-12.20291,-10.67761,83.73168,1.485266,699.9843
-0.2982995,0.8761421,-0.02533029,-12.20349,-10.69852,83.73251,1.481165,699.9633
-0.3225257,0.8849897,-0.03071254,-12.20349,-10.67874,83.73277,1.480632,699.8441
-0.3167384,0.8887279,-0.02595869,-12.20349,-10.71243,83.7321,1.482509,699.7007
-0.3079829,0.8781825,-0.02458062,-12.20349,-10.68961,83.72955,1.480693,700.0279
-0.3011971,0.8854369,-0.0216986,-12.20349,-10.6376,83.72997,1.481243,699.937
-0.3157125,0.8868069,-0.02904829,-12.20349,-10.59143,83.7302,1.483091,699.6686
-0.3174294,0.8872127,-0.02826884,-12.20349,-10.65787,83.73092,1.485154,699.71
-0.3171633,0.8837672,-0.02866198,-12.20349,-10.60529,83.73093,1.484435,699.5696
-0.3128017,0.8823893,-0.02688485,-12.20349,-10.66483,83.73274,1.48899,699.7267
-0.3046429,0.8751485,-0.02504863,-12.20349,-10.63483,83.73067,1.485023,699.4556
-0.3047229,0.8765448,-0.02486115,-12.20349,-10.61221,83.73234,1.488691,699.5216
-0.2948811,0.8832216,-0.02422497,-12.20349,-10.57736,83.73136,1.49271,699.2036
-0.3004851,0.8874769,-0.03553696,-12.20349,-10.51752,83.73227,1.493213,699.4067
-0.2838076,0.8776037,-0.03488867,-12.20349,-10.47171,83.73116,1.497589,698.9766
-0.2951596,0.8749429,-0.03679899,-12.20349,-10.5033,83.73135,1.496505,698.7408
-0.2991147,0.8795326,-0.03590596,-12.20349,-10.55182,83.73307,1.497203,699.2656
-0.2970487,0.8727136,-0.03489936,-12.20349,-10.52145,83.73148,1.496187,699.0702
-0.299469,0.8707638,-0.02814117,-12.20349,-10.59299,83.73127,1.494486,699.6187
-0.3059075,0.8763525,-0.02819468,-12.20349,-10.62726,83.72995,1.48962,699.0011
-0.3107138,0.8788841,-0.02585338,-12.20349,-10.61472,83.73112,1.490814,699.4608
-0.3165048,0.8741733,-0.02713143,-12.20447,-10.64133,83.7329,1.486748,699.2947
-0.3132409,0.8822171,-0.02215407,-12.20447,-10.63232,83.73101,1.48754,699.2364
-0.3160237,0.8814918,-0.02199373,-12.20447,-10.64026,83.73309,1.487163,699.3627
-0.3208389,0.8865337,-0.01962515,-12.20447,-10.68893,83.73213,1.484064,699.405
-0.3150989,0.8802298,-0.01587083,-12.20447,-10.63489,83.73042,1.483759,699.6934
-0.313321,0.8793207,-0.01255754,-12.20447,-10.6546,83.73325,1.480496,699.8369
-0.3139682,0.8771335,-0.01060415,-12.20447,-10.7038,83.7306,1.482461,699.9297
-0.3220032,0.8817906,-0.01215841,-12.20447,-10.78726,83.73129,1.479556,699.7463
-0.3266487,0.8859519,-0.01196069,-12.20447,-10.71274,83.73151,1.481246,699.8293
-0.3325876,0.8851846,-0.01461095,-12.20447,-10.77576,83.73099,1.479491,700.0002
-0.3240136,0.8830794,-0.01064504,-12.20447,-10.86621,83.73032,1.475358,700.2614
-0.3285821,0.8822628,-0.01341875,-12.20447,-10.82489,83.73113,1.474704,700.5575
-0.3326005,0.8919001,-0.01226695,-12.20447,-10.86905,83.73089,1.469042,700.2348
-0.3401256,0.8892855,-0.01366951,-12.20447,-10.87247,83.73164,1.472016,700.4557
-0.343826,0.8942084,-0.01007759,-12.20447,-10.87857,83.73101,1.469518,700.403
-0.3445581,0.8866474,-0.0105466,-12.20447,-10.87009,83.73203,1.467781,700.8098
-0.3325267,0.8873945,-0.007338664,-12.20447,-10.90366,83.73095,1.465014,700.5484
-0.3403874,0.8900082,-0.01151851,-12.20447,-10.91357,83.7322,1.463381,700.8914
-0.3367544,0.8883395,-0.01058796,-12.20447,-10.96176,83.73182,1.468295,700.9385
-0.3452838,0.8896829,-0.01287073,-12.20447,-10.95465,83.73115,1.464454,701.3074
-0.3479467,0.8919761,-0.01177426,-12.20392,-11.00815,83.73258,1.464331,700.9931
-0.3586824,0.8925408,-0.01217776,-12.20392,-10.97009,83.7308,1.459051,701.0673
-0.3561129,0.8919794,-0.01085012,-12.20392,-10.99554,83.73168,1.460037,701.1231
-0.3646307,0.8965823,-0.01079228,-12.20392,-11.05527,83.72969,1.457413,701.145
-0.3663391,0.8923637,-0.0115116,-12.20392,-10.99734,83.72971,1.461736,701.5136
-0.3657685,0.8971357,-0.009765301,-12.20392,-11.05865,83.72971,1.456164,701.3131
-0.3627233,0.8899236,-0.01215844,-12.20392,-11.03632,83.73141,1.457307,701.344
-0.345922,0.8841287,-0.00869179,-12.20392,-11.09705,83.7316,1.459758,701.3655
-0.3487974,0.8790569,-0.01267092,-12.20392,-11.04797,83.7316,1.459907,701.1274
